Crime,Year,DMP,CMP,KMP,RMP,BMP,SMP,RPMP,GMP,Dhaka div,Mymensingh div,Chattogram div,Sylhet div,Khulna div,Barishal div,Rajshahi div,Rangpur div
Narcotics,2019,16880,5231,1784,3838,1231,729,891,2273,18259,6549,14296,2715,9485,3968,15549,6972
Narcotics,2020,12619,2899,1205,2441,680,539,581,1188,9212,3903,10110,2118,6496,2772,11738,4636
Narcotics,2021,16213,2620,1100,2771,918,877,667,1078,8885,3670,12589,2059,6877,2760,11824,4529
Narcotics,2022,16035,2102,968,2658,1033,714,424,1004,10230,3680,13307,2080,7526,2818,13205,4459
Narcotics,2023,12789,2587,1030,1395,833,495,505,1058,11460,3182,11625,1677,8071,2487,12054,4928
Narcotics,2024,6407,1555,1108,1215,467,356,444,906,8157,2398,7580,1185,5670,1707,8619,4731
Narcotics,2025,3677,932,476,531,249,216,132,466,4925,1783,5079,960,2693,1013,3469,2880
GBV,2019,2400,704,138,217,160,223,169,372,3432,1675,2860,981,1943,1577,2474,2432
GBV,2020,2198,797,112,241,161,269,229,456,3398,1861,2888,926,2135,1432,2861,2543
GBV,2021,2218,850,123,171,129,309,223,431,3559,2155,2823,985,2015,1300,2310,2529
GBV,2022,2012,701,190,180,166,309,174,424,3479,2172,2486,976,1932,1283,2624,2646
GBV,2023,1602,513,296,190,197,207,132,319,3291,1798,2020,703,1698,1301,2289,2277
GBV,2024,1460,399,179,190,174,161,79,319,2928,1332,1957,666,1555,1711,2254,2200
GBV,2025,1144,281,98,107,150,72,70,208,2235,801,1616,623,1291,1117,1695,1609
Theft,2019,1517,198,62,61,76,103,71,152,1049,377,867,471,552,219,458,571
Theft,2020,1217,216,70,82,115,110,104,127,1001,459,1020,457,773,216,515,660
Theft,2021,1343,301,121,66,108,165,150,150,1384,544,1110,482,874,258,646,705
Theft,2022,1603,377,58,91,106,125,183,140,1574,562,1111,510,970,314,872,850
Theft,2023,1511,407,110,120,72,182,121,115,1350,547,1115,629,926,295,952,826
Theft,2024,1568,349,127,120,81,95,91,125,1084,485,1169,537,767,329,861,719
Theft,2025,837,188,97,70,44,68,49,83,824,279,700,336,504,243,498,471,96
Robbery,2019,155,94,4,33,11,15,9,38,154,21,106,38,72,33,75,32
Robbery,2020,176,81,15,29,13,7,5,29,198,28,144,27,83,33,71,30
Robbery,2021,144,76,7,20,6,20,0,29,240,19,126,43,87,26,87,34
Robbery,2022,145,79,3,31,6,9,0,31,308,33,171,30,66,37,113,47
Robbery,2023,199,105,7,39,6,11,0,44,263,24,212,38,67,28,121,35
Robbery,2024,248,98,17,32,7,10,14,46,273,42,263,49,90,30,119,48
Robbery,2025,285,47,16,24,4,13,8,41,238,32,143,35,75,24,80,38
Burglary,2019,694,120,33,35,70,24,2,18,363,64,390,71,192,178,77,108
Burglary,2020,658,123,21,38,67,32,11,40,383,77,446,67,212,143,83,130
Burglary,2021,643,181,25,28,57,56,35,43,441,59,401,67,208,146,87,167
Burglary,2022,713,172,45,36,54,55,6,26,523,74,386,60,200,138,118,204
Burglary,2023,547,151,55,42,50,51,0,36,429,78,422,42,173,131,110,166
Burglary,2024,607,149,47,44,65,59,0,61,464,68,419,83,179,180,80,150
Burglary,2025,338,86,34,25,31,27,0,79,293,81,289,42,120,99,54,43
